id,title,creator,description,year,timespan,language,type,concepts,place,place_lat,place_lon,country,collection,thumbnail,link,rights,iiif_manifest,creators,date_begin,date_end,place_label,text,cluster
/2022706/https___hispana_mcu_es_lod_oai_galiciana_bibliotecadegalicia_xunta_es_5754_ent0,"Eu o Principe Regente Faço saber aos que este Alvará virem Que sendo-Me presentes as vinte e quatro Condiçoes juntas, rubricadas por Dom Rodrigo de Sousa Coutinho ... para ... levantarem huma Fabrica de fazer Papel na Villa de Alemquer ... Hey por bem e Me praz de Confirmar, como por este Confimo, de Meu Motu proprio ... as preditas ... Condiçoes; e conceder quanto nellas se propoem e pede ... SOu servido nomear para Directores e Caixas da Sociedade ...","['https://hispana.mcu.es/lod/oai:galiciana-bibliotecadegalicia.xunta.es:5754#ent2', 'https://hispana.mcu.es/lod/oai:galiciana-bibliotecadegalicia.xunta.es:5754#ent3', 'https://hispana.mcu.es/lod/oai:galiciana-bibliotecadegalicia.xunta.es:5754#ent4']","4 páxinas sen numerar, 11 páxinas",1802,['19th century'],['es'],TEXT,Industrias papeleiras,"{'de': ['Portugal'], 'ru': ['Португалия'], 'fi': ['Portugali'], 'pt': ['Portugal'], 'bg': ['Португалия'], 'lt': ['Portugalija'], 'hr': ['Portugal'], 'lv': ['Portugāle'], 'fr': ['Portugal'], 'hu': ['Portugália'], 'sk': ['Portugalsko'], 'sl': ['Portugalska'], 'ga': ['An Phortaingéil'], 'ca': ['Portugal'], 'sv': ['Portugal'], 'el': ['Πορτογαλία'], 'mt': ['Portugall'], 'en': ['Portugal'], 'it': ['Portogallo'], 'es': ['Portugal', 'Portugal'], 'et': ['Portugal'], 'cs': ['Portugalsko'], 'eu': ['Portugal'], 'pl': ['Portugalia'], 'da': ['Portugal'], 'ro': ['Portugalia'], 'nl': ['Portugal']}",38.7,9.183333,Spain,2022706_Ag_ES_Hispana_gal,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbiblioteca.galiciana.gal%2Fes%2Fcatalogo_imagenes%2Fimagen_id.do%3FidImagen%3D11148856&type=TEXT,http://biblioteca.galiciana.gal/es/consulta/registro.do?id=5754,http://creativecommons.org/publicdomain/mark/1.0/,https://iiif.europeana.eu/presentation/2022706/https___hispana_mcu_es_lod_oai_galiciana_bibliotecadegalicia_xunta_es_5754_ent0/manifest,"['Mazziotti, Antonio', 'Portugal. Príncipe Rexente (1799-1815: Joao VI)', 'Sousa Coutinho, Rodrigo']",1801-01-01,1900-01-01,Portugal,"Industrias papeleiras Eu o Principe Regente Faço saber aos que este Alvará virem Que sendo-Me presentes as vinte e quatro Condiçoes juntas, rubricadas por Dom Rodrigo de Sousa Coutinho ... para ... levantarem huma Fabrica de fazer Papel na Villa de Alemquer ... Hey por bem e Me praz de Confirmar, como por este Confimo, de Meu Motu proprio ... as preditas ... Condiçoes; e conceder quanto nellas se propoem e pede ... SOu servido nomear para Directores e Caixas da Sociedade ... 4 páxinas sen numerar, 11 páxinas",4
/2022706/https___hispana_mcu_es_lod_oai_galiciana_bibliotecadegalicia_xunta_es_7612_ent0,Restablecimiento de la unidad religiosa en los pueblos cristianos,"['http://data.europeana.eu/agent/168230', 'https://hispana.mcu.es/lod/oai:galiciana-bibliotecadegalicia.xunta.es:7612#ent2', 'https://hispana.mcu.es/lod/oai:galiciana-bibliotecadegalicia.xunta.es:7612#ent3']",Na portada: Conferencias pronunciadas en la Escuela de Estudios superiores del Ateneo de Madrid durante el curso 1896-97,1897,['19th century'],['es'],TEXT,Ateneo de Madrid - 19º século - Estudos e conferencias Ecumenismo,{'gl': ['España - Madrid - Madrid - Madrid']},,,Spain,2022706_Ag_ES_Hispana_gal,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbiblioteca.galiciana.gal%2Fes%2Fcatalogo_imagenes%2Fimagen_id.do%3FidImagen%3D11466162&type=TEXT,http://biblioteca.galiciana.gal/es/consulta/registro.do?id=7612,http://creativecommons.org/publicdomain/mark/1.0/,https://iiif.europeana.eu/presentation/2022706/https___hispana_mcu_es_lod_oai_galiciana_bibliotecadegalicia_xunta_es_7612_ent0/manifest,"['Librería de Victoriano Suárez (Madrid)', 'Ateneo de Madrid', 'Eugenio Montero Ríos']",1801-01-01,1900-01-01,{'gl': ['España - Madrid - Madrid - Madrid']},Ateneo de Madrid - 19º século - Estudos e conferencias Ecumenismo Restablecimiento de la unidad religiosa en los pueblos cristianos Na portada: Conferencias pronunciadas en la Escuela de Estudios superiores del Ateneo de Madrid durante el curso 1896-97,4
/2022706/https___hispana_mcu_es_lod_oai_galiciana_bibliotecadegalicia_xunta_es_8812_ent0,La industria de la pesca en Galicia : estudio sociológico,"['https://hispana.mcu.es/lod/oai:galiciana-bibliotecadegalicia.xunta.es:8812#ent3', 'https://hispana.mcu.es/lod/oai:galiciana-bibliotecadegalicia.xunta.es:8812#ent4']","Precede aol tit.: ""Sociedad Economia de Amigos del Pais de Santiago""",1885,['19th century'],['es'],TEXT,"Industrias pesqueiras Historia La Gaceta (Santiago de Compostela); Torre, Felipe de la & Compañía, imp","{'de': ['Galicien', 'Spanien'], 'fi': ['Galicia', 'Espanja'], 'ru': ['Галисия', 'Испания'], 'pt': ['Galiza', 'Espanha'], 'bg': ['Галисия', 'Испания'], 'lt': ['Galisija', 'Ispanija'], 'hr': ['Galicija', 'Španjolska'], 'lv': ['Galisija', 'Spānija'], 'fr': ['Galice', 'Espagne'], 'hu': ['Galicia', 'Spanyolország'], 'sk': ['Galícia', 'Španielsko'], 'sl': ['Galicija', 'Španija'], 'ga': ['An Ghailís', 'An Spáinn'], 'ca': ['Galícia', 'Espanya'], 'sv': ['Galicien', 'Spanien'], 'el': ['Γαλικία', 'Ισπανία'], 'mt': ['Spanja'], 'en': ['Galicia', 'Spain'], 'it': ['Galizia', 'Spagna'], 'es': ['Galicia', 'España', 'España - Galicia - A Coruña - Santiago de Compostela', 'Galicia'], 'et': ['Galicia', 'Hispaania'], 'cs': ['Galicie', 'Španělsko'], 'eu': ['Galizia', 'Espainia'], 'pl': ['Galicja', 'Hiszpania'], 'da': ['Galicien', 'Spanien'], 'ro': ['Galicia', 'Spania'], 'nl': ['Galicië', 'Spanje']}",42.755,-7.8661113,Spain,2022706_Ag_ES_Hispana_gal,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbiblioteca.galiciana.gal%2Fes%2Fcatalogo_imagenes%2Fimagen_id.do%3FidImagen%3D11698255&type=TEXT,http://biblioteca.galiciana.gal/es/consulta/registro.do?id=8812,http://creativecommons.org/publicdomain/mark/1.0/,https://iiif.europeana.eu/presentation/2022706/https___hispana_mcu_es_lod_oai_galiciana_bibliotecadegalicia_xunta_es_8812_ent0/manifest,"['Díaz de Rábago, Joaquín, 1837-1898', 'La Gaceta (Santiago de Compostela); Torre, Felipe de la & Compañía']",1885-01-01,1885-12-31,Galicia,"Industrias pesqueiras Historia La Gaceta (Santiago de Compostela); Torre, Felipe de la & Compañía, imp La industria de la pesca en Galicia : estudio sociológico Precede aol tit.: ""Sociedad Economia de Amigos del Pais de Santiago""",4
/139/_76537218n,Letter from Lillian Casey to Hugh Casey,['Lillian Casey'],"Letter from Lillian Casey, aged 20 or 21, to her brother Hugh Casey in Frongoch Internment Camp. Hugh was interned for taking part in the fighting at the GPO during the Easter Rising. His father, James, was a founding member of the Gaelic League.",Unknown Year,['Unknown Timespan'],['en'],TEXT,Erster Weltkrieg Первая мировая война Ensimmäinen maailmansota Primeira Guerra Mundial Първа световна война Pirmasis pasaulinis karas Prvi svjetski rat Pirmais pasaules karš Première Guerre mondiale Első világháború Prvá svetová vojna Prva svetovna vojna An Chéad Chogadh Domhanda Primera Guerra Mundial Första världskriget Α΄ Παγκόσμιος Πόλεμος L-Ewwel Gwerra Dinjija World War I Prima guerra mondiale Primera Guerra Mundial Esimene maailmasõda První světová válka Lehen Mundu Gerra I wojna światowa 1. verdenskrig Primul Război Mondial Eerste Wereldoorlog,"{'en': ['Salonika, Gulf of (Greece)', 'Galway', 'Frongoch, Bala, Gwynedd']}",40.64112,22.944738,Ireland,139_DRI_UGC_1916_memorabilia,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Frepository.dri.ie%2Fobjects%2F76537218n%2Ffiles%2F37720d52t%2Fdownload%3Ftype%3Dsurrogate&type=TEXT,https://doi.org/10.7486/DRI.76537218n,http://creativecommons.org/licenses/by/4.0/,https://iiif.europeana.eu/presentation/139/_76537218n/manifest,['Lillian Casey'],1916-05-16,1916-05-16,"Salonika, Gulf of (Greece)","Erster Weltkrieg Первая мировая война Ensimmäinen maailmansota Primeira Guerra Mundial Първа световна война Pirmasis pasaulinis karas Prvi svjetski rat Pirmais pasaules karš Première Guerre mondiale Első világháború Prvá svetová vojna Prva svetovna vojna An Chéad Chogadh Domhanda Primera Guerra Mundial Första världskriget Α΄ Παγκόσμιος Πόλεμος L-Ewwel Gwerra Dinjija World War I Prima guerra mondiale Primera Guerra Mundial Esimene maailmasõda První světová válka Lehen Mundu Gerra I wojna światowa 1. verdenskrig Primul Război Mondial Eerste Wereldoorlog Letter from Lillian Casey to Hugh Casey Letter from Lillian Casey, aged 20 or 21, to her brother Hugh Casey in Frongoch Internment Camp. Hugh was interned for taking part in the fighting at the GPO during the Easter Rising. His father, James, was a founding member of the Gaelic League.",4
/139/_ff36jk99d,Receipt to Irish Transport Workers' Union,['Hopkins and Hopkins'],"Hopkins and Hopkins receipt to Irish Transport Workers' Union for the purchase of silver and gold medals.  John J. O'Neill was one of the founding members and a general secretary of the the Irish Transport and General Workers Union. He was one of three trustees to the deeds of Liberty Hall. He lived at 61 Ballybough Road, Dublin and took part in the Rising fighting at both Liberty Hall and the GPO. After the Rising he was interned in Frongoch.",Unknown Year,['Unknown Timespan'],['en'],TEXT,,"{'en': ['Dublin, Ireland', 'Frongoch, Bala, Gwynedd']}",53.3478,-6.25972,Ireland,139_DRI_UGC_1916_memorabilia,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Frepository.dri.ie%2Fobjects%2Fff36jk99d%2Ffiles%2Ffj23kg83r%2Fdownload%3Ftype%3Dsurrogate&type=TEXT,https://doi.org/10.7486/DRI.ff36jk99d,http://creativecommons.org/publicdomain/zero/1.0/,https://iiif.europeana.eu/presentation/139/_ff36jk99d/manifest,"[""Terry O'Neill""]",1938-01-28,1938-07-25,"Dublin, Ireland"," Receipt to Irish Transport Workers' Union Hopkins and Hopkins receipt to Irish Transport Workers' Union for the purchase of silver and gold medals.  John J. O'Neill was one of the founding members and a general secretary of the the Irish Transport and General Workers Union. He was one of three trustees to the deeds of Liberty Hall. He lived at 61 Ballybough Road, Dublin and took part in the Rising fighting at both Liberty Hall and the GPO. After the Rising he was interned in Frongoch.",4
/2022706/https___hispana_mcu_es_lod_oai_galiciana_bibliotecadegalicia_xunta_es_5139_ent0,"El Excmo. Sr. Secretario de Estado y del Despacho de Hacienda me dice lo siguiente el Rey nuestro Señor se ha servido dirigirme el decreto que sigue. Penetrado mi Real ánimo de los principios de equidad y justicia que caracterizaron á mis gloriosos progenitores ... fixé mi consideracion en el ramo de Rentas Provinciales ... he tenido á bien mandar lo siguiente. Todos los pueblos de las Provincias de Castilla y Leon ... en que se hallen establecidas las Rentas Provinciales ... puedan encabezarse con mi Real Hacienda .. Orden Real, 1814-12-31","['https://hispana.mcu.es/lod/oai:galiciana-bibliotecadegalicia.xunta.es:5139#ent2', 'https://hispana.mcu.es/lod/oai:galiciana-bibliotecadegalicia.xunta.es:5139#ent3', 'https://hispana.mcu.es/lod/oai:galiciana-bibliotecadegalicia.xunta.es:5139#ent4']","Orde redactada por mandato real, por Juan Perez Villamil en Madrid, 31 de Diciembre de 1814 ; documento asinado en Coruña, 24 de Enero de 1815, por José de Ansa",1815,['19th century'],['es'],TEXT,Comercio Facenda pública Industria,{},,,Spain,2022706_Ag_ES_Hispana_gal,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbiblioteca.galiciana.gal%2Fes%2Fcatalogo_imagenes%2Fimagen_id.do%3FidImagen%3D11140653&type=TEXT,http://biblioteca.galiciana.gal/es/consulta/registro.do?id=5139,http://creativecommons.org/publicdomain/mark/1.0/,https://iiif.europeana.eu/presentation/2022706/https___hispana_mcu_es_lod_oai_galiciana_bibliotecadegalicia_xunta_es_5139_ent0/manifest,"['España. Rei (1814-1833: Fernando VII)', 'Ansa, José de', 'Pérez Villamil, Juan']",1801-01-01,1900-01-01,Spain,"Comercio Facenda pública Industria El Excmo. Sr. Secretario de Estado y del Despacho de Hacienda me dice lo siguiente el Rey nuestro Señor se ha servido dirigirme el decreto que sigue. Penetrado mi Real ánimo de los principios de equidad y justicia que caracterizaron á mis gloriosos progenitores ... fixé mi consideracion en el ramo de Rentas Provinciales ... he tenido á bien mandar lo siguiente. Todos los pueblos de las Provincias de Castilla y Leon ... en que se hallen establecidas las Rentas Provinciales ... puedan encabezarse con mi Real Hacienda .. Orden Real, 1814-12-31 Orde redactada por mandato real, por Juan Perez Villamil en Madrid, 31 de Diciembre de 1814 ; documento asinado en Coruña, 24 de Enero de 1815, por José de Ansa",4
/2022706/https___hispana_mcu_es_lod_oai_galiciana_bibliotecadegalicia_xunta_es_5144_ent0,"Con esta fecha paso á los Ayuntamientos de la provincia en el núm. 144 la circular ... en los Boletines números 64 de 1851 y 62 del corriente se han insertado las Reales órdenes espedidas por los Ministerios de Fomento, y Gobernacion, para propagar en esta provincia la Morera .. Circular, 1852-12-01",['https://hispana.mcu.es/lod/oai:galiciana-bibliotecadegalicia.xunta.es:5144#ent2'],Precede ao título: Gobierno de la Provincia de la Coruña.,1852,['19th century'],['es'],TEXT,España - Historia Industrias téxtiles,{'es': ['España']},41.83683,1.25244,Spain,2022706_Ag_ES_Hispana_gal,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbiblioteca.galiciana.gal%2Fes%2Fcatalogo_imagenes%2Fimagen_id.do%3FidImagen%3D11123109&type=TEXT,http://biblioteca.galiciana.gal/es/consulta/registro.do?id=5144,http://creativecommons.org/publicdomain/mark/1.0/,https://iiif.europeana.eu/presentation/2022706/https___hispana_mcu_es_lod_oai_galiciana_bibliotecadegalicia_xunta_es_5144_ent0/manifest,"['Hermida, Bartolomé']",1852-01-01,1852-12-31,España,"España - Historia Industrias téxtiles Con esta fecha paso á los Ayuntamientos de la provincia en el núm. 144 la circular ... en los Boletines números 64 de 1851 y 62 del corriente se han insertado las Reales órdenes espedidas por los Ministerios de Fomento, y Gobernacion, para propagar en esta provincia la Morera .. Circular, 1852-12-01 Precede ao título: Gobierno de la Provincia de la Coruña.",4
/2022706/https___hispana_mcu_es_lod_oai_galiciana_bibliotecadegalicia_xunta_es_5575_ent0,"La Dirección general de Rentas en 28 de Junio último me traslada lo que sigue Por el Ministerio de Hacienda se ha comunicado á esta Direccion general ... la Real orden sig.: ... se ha enterado el Rey ... que no comprendida bien la naturaleza de los puestos públicos para la venta al por menor de las cinco especies de aceite, aguardiente, carne, vinagre y vino ... se han adoptado en su egecucion medidas que les alejan del objeto y fin de su permision, dando lugar á restricciones ó ampliaciones ...",['https://hispana.mcu.es/lod/oai:galiciana-bibliotecadegalicia.xunta.es:5575#ent2'],Real Orden comunicada polo Ministerio de Hacienda o 18 de xuño de 1819,1819,['19th century'],['es'],TEXT,Industria Comercio,{},,,Spain,2022706_Ag_ES_Hispana_gal,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbiblioteca.galiciana.gal%2Fes%2Fcatalogo_imagenes%2Fimagen_id.do%3FidImagen%3D11143294&type=TEXT,http://biblioteca.galiciana.gal/es/consulta/registro.do?id=5575,http://creativecommons.org/publicdomain/mark/1.0/,https://iiif.europeana.eu/presentation/2022706/https___hispana_mcu_es_lod_oai_galiciana_bibliotecadegalicia_xunta_es_5575_ent0/manifest,"['Peralta, Joaquín de']",1801-01-01,1900-01-01,Spain,"Industria Comercio La Dirección general de Rentas en 28 de Junio último me traslada lo que sigue Por el Ministerio de Hacienda se ha comunicado á esta Direccion general ... la Real orden sig.: ... se ha enterado el Rey ... que no comprendida bien la naturaleza de los puestos públicos para la venta al por menor de las cinco especies de aceite, aguardiente, carne, vinagre y vino ... se han adoptado en su egecucion medidas que les alejan del objeto y fin de su permision, dando lugar á restricciones ó ampliaciones ... Real Orden comunicada polo Ministerio de Hacienda o 18 de xuño de 1819",4
/2022706/https___hispana_mcu_es_lod_oai_galiciana_bibliotecadegalicia_xunta_es_5578_ent0,"La Dirección general de Rentas con fecha 20 de Agosto útlimo me dice ... El clarísimo y literal sentido de la Real órden de 23 de Noviembre de 1817, que trata de puestos públicos ... tardó poco en observarse que en vez de ... resultados ... se multiplicaron los recrsos de los mismos pueblos y particulares en queja de la arbitariedad con que se procedía ... Justicias y Ayuntamientos ...",['https://hispana.mcu.es/lod/oai:galiciana-bibliotecadegalicia.xunta.es:5578#ent2'],Mención á Real Orde de 23 de novembro de 1817,1818,['19th century'],['es'],TEXT,Comercio Industria,{},,,Spain,2022706_Ag_ES_Hispana_gal,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbiblioteca.galiciana.gal%2Fes%2Fcatalogo_imagenes%2Fimagen_id.do%3FidImagen%3D11143302&type=TEXT,http://biblioteca.galiciana.gal/es/consulta/registro.do?id=5578,http://creativecommons.org/publicdomain/mark/1.0/,https://iiif.europeana.eu/presentation/2022706/https___hispana_mcu_es_lod_oai_galiciana_bibliotecadegalicia_xunta_es_5578_ent0/manifest,"['Módenes, Juan']",1818-01-01,1818-12-31,Spain,"Comercio Industria La Dirección general de Rentas con fecha 20 de Agosto útlimo me dice ... El clarísimo y literal sentido de la Real órden de 23 de Noviembre de 1817, que trata de puestos públicos ... tardó poco en observarse que en vez de ... resultados ... se multiplicaron los recrsos de los mismos pueblos y particulares en queja de la arbitariedad con que se procedía ... Justicias y Ayuntamientos ... Mención á Real Orde de 23 de novembro de 1817",4
/2022706/https___hispana_mcu_es_lod_oai_galiciana_bibliotecadegalicia_xunta_es_5683_ent0,"El Excmo. Secretario de Estado y del Despacho de Hacienda con fecha 30 de Mayo último ... Teniendo dispuesto en mi Real Decreto de cinco de Setiembre del año pasado de mil ochocientos veinte y siete, que las exposiciones públicas de la industria Española se hagan de tres en tres años ... quiero que se abra la tercera exposición pública el dia de S. Fernando, treinta de Mayo de mil ochocientos treinta y uno ... Instrucción, 1830-05-24","['https://hispana.mcu.es/lod/oai:galiciana-bibliotecadegalicia.xunta.es:5683#ent2', 'https://hispana.mcu.es/lod/oai:galiciana-bibliotecadegalicia.xunta.es:5683#ent3']",Precede ao título: Intendencia de Galicia,1830,['19th century'],['es'],TEXT,España - Historia Leis Industria,{'es': ['España']},41.83683,1.25244,Spain,2022706_Ag_ES_Hispana_gal,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbiblioteca.galiciana.gal%2Fes%2Fcatalogo_imagenes%2Fimagen_id.do%3FidImagen%3D11147754&type=TEXT,http://biblioteca.galiciana.gal/es/consulta/registro.do?id=5683,http://creativecommons.org/publicdomain/mark/1.0/,https://iiif.europeana.eu/presentation/2022706/https___hispana_mcu_es_lod_oai_galiciana_bibliotecadegalicia_xunta_es_5683_ent0/manifest,"['Florín, Juan', 'López de Ballesteros, Luis']",1830-01-01,1830-12-31,España,"España - Historia Leis Industria El Excmo. Secretario de Estado y del Despacho de Hacienda con fecha 30 de Mayo último ... Teniendo dispuesto en mi Real Decreto de cinco de Setiembre del año pasado de mil ochocientos veinte y siete, que las exposiciones públicas de la industria Española se hagan de tres en tres años ... quiero que se abra la tercera exposición pública el dia de S. Fernando, treinta de Mayo de mil ochocientos treinta y uno ... Instrucción, 1830-05-24 Precede ao título: Intendencia de Galicia",4
